English,Greek
Could not create save file: {0},Δεν ήταν δυνατή η δημιουργία του αρχείου: {0}
Could not start server:,Δεν μπόρεσε να να ξεκινήσει ο server:
Connection Failed,Η σύνδεση απέτυχε
Hit {0} for {1} damage!,Πάτησε το {0} για καταστροφή του {1}!
You killed the {0}. Find the carcass to harvest it.,Σκότωσες ένα {0}. Βρες το κουφάρι για να το μαζέψεις.
The carcass has already been harvested,Το κουφάρι έχει ήδη μαζευτεί
You cannot queue more than {0} projects at a single table.,Δεν μπορείς να προσθέσεις στην ουρά περισσότερα από {0} αντικείμενα στο ίδιο τραπέζι.
Cannot lower the priority of other people's work orders on someone else's property.,Δεν μπορείς να χαμηλώσεις την προτεραιότητα της δουλειάς άλλων παικτών στην ιδιοκτησία κάποιου άλλου.
Project cancelled.,Το πρότζεκτ ακυρώθηκε.
Could not cancel this project: {0},Δεν μπορείς να ακυρώσεις το πρότζεκτ: {0}
This {0:object} has active projects and can't be picked up,Αυτό το {0:object} έχει ενεργά πρότζεκτ και δεν μπορεί να μαζευτεί
Specify an amount to buy first.,Όρισε πρώτα μία ποσότητα για να αγοράσεις.
Can't have more than 100 exchanges listed.,Δεν μπορείς να έχεις στη λίστα περισσότερες από 100 ανταλλαγές.
Can't have more than 100 holdings listed.,Δεν μπορείς να έχεις στη λίστα αναμονής περισσότερες 100 ανταλλαγές.
"This mint is currently disabled, check status for details.","Αυτό το νομισματοκοπείο είναι απενεργοποιημένο, έλεγξε την κατάστασή του στις λεπτομέρειες."
Invalid currency name.,Μη έγκυρο όνομα νομίσματος.
That currency name already exists at another mint.,Αυτή η ονομασία νομίσματος υπάρχει ήδη σε ένα άλλο νομισματοκοπείο.
{0} created the currency {1}.,Ο παίκτης {0} δημιούργησε το νόμισμα {1}.
{0} renamed currency {1} to {2}.,Ο παίκτης {0} μετονόμασε το νόμισμα {1} σε {2}.
"This mint is currently not functional, check status for details.","Το νομισματοκοπείο είναι μη λειτουργικό, έλεγξε την κατάστασή του στις λεπτομέρειες."
Need to give your currency a name before you can craft it.,Πρέπει να δώσεις στο νόμισμά σου ένα νόμισμα πριν το δημιουργήσεις.
You must craft more than zero coins.,Πρέπει να κατασκευάσεις περισσότερα από μηδέν κέρματα.
{0} created {1}.,{0} δημιούργησε {1}.
No item on table to repair.,Δεν υπάρχει αντικείμενο στο τραπέζι για να επισκευαστεί.
Cannot repair {0}.,Δεν είναι δυνατή η επισκευή του {0}.
{0} is already at max durability.,{0} έχει ήδη τη μέγιστη ανθεκτικότητα.
You can't repair {0} until you learn {1}.,Δεν μπορείς να επισκευάσεις {0} μέχρι να μάθεις {1}.
