"1";"404 η σελίδα δεν βρέθηκε";""
"2";"Επέτρεψε Κλήσεις Εντοπισμού Σφαλμάτων";""
"3";"Ιδιωτικός Server";""
"4";"Λευκή λίστα";""
"5";"Μαύρη λίστα";""
"6";"Διαχειριστής";""
"7";"Μέγιστες Θέσεις";""
"8";"Τοποθεσία Δημιουργίας";""
"9";"Φήμες";""
"10";"Χρήση Αποβλήτων";""
"11";"Διαμόρφωση Δικτύου";""
"12";"Δημόσιος server";""
"13";"Διεύθυνση IP";""
"14";"Θύρα διακομιστή παιχνιδιού";""
"15";"Θύρα διακομιστή Web";""
"16";"Βαθμολογία";""
"17";"Υπηρεσία εξυπηρετητή διακομιστή";""
"18";"ΑΠΟΘΗΚΕΥΣΗ";""
"19";"Αιτία και Αποτέλεσμα Εξερευνητή";""
"20";"Επιλογή Κατηγορίας";""
"21";"Επιλογή Στρώματος";""
"22";"Οι χάρτες δείχνουν 400 τετραγωνικά μέτρα να είναι κεντραρισμένα στο 50,50";"50"
"23";"Εκλογές Eco";""
"24";"Επέλεξε μια εκλογή από το μενού ή μπορείς να τρέξετε για το γραφείο";""
"25";"Υποψήφιοι";""
"26";"Οι εκλεγμένοι υπάλληλοι λαμβάνουν 15 αξιώσεις ιδιοκτησίας";""
"27";"Όταν ένα δημόσιο ταμείο είναι χτισμένο, μπορούν να ορίσουν φόρους (χαρακτηριστικό σε εξέλιξη)";" they can set taxes (feature in progress)"
"28";"Αυτές οι εκλογές χρησιμοποιούν";""
"29";"Άμεση ψηφοφορία";""
"30";"Υποβολή Ψήφου";""
"31";"Τρέξε για το Γραφείο";""
"32";"Αφαίρεσε τον Εαυτό σου";""
"33";"Τρέχοντα Αποτελέσματα";""
"34";"Κανείς δεν έχει ψηφίσει μέχρι τώρα";""
"35";"Ψήφοι ανά γύρο";""
"36";"Προβολή Όλων των Ψήφων";""
"37";"Συζήτηση";""
"38";"Ημέρα";""
"39";"Βάλε την απάντησή σου";""
"40";"Αφαίρεση Γράφου";""
"41";"Αφαίρεση Χάρτη";""
"42";"Υποβολή";""
"43";"Ακύρωση";""
"44";"Για να ξεκινήσεις νέες εκλογές πρέπει να είσαι υποψήφιος";" you must add yourself as a candidate"
