English,Portuguese
Could not create save file: {0},
Could not start server:,Não foi possível iniciar o servidor:
Connection Failed,Falha na Ligação
Hit {0} for {1} damage!,Acertastes {0} causando {1} de dano!
You killed the {0}. Find the carcass to harvest it.,Mataste o {0}. Procura a carcaça para a coletar.
The carcass has already been harvested,A carcaça já foi coletada
You cannot queue more than {0} projects at a single table.,Não pode ter mais de {0} projetos em fila única numa tabela.
Cannot lower the priority of other people's work orders on someone else's property.,Não é possível diminuir a prioridade das tarefas dos outros em propriedade que não te pertence.
Project cancelled.,Projeto cancelado.
Could not cancel this project: {0},Não é possível cancelar este projeto: {0}
This {0:object} has active projects and can't be picked up,Este {0:object} possui projetos ativos e não pode ser escolhido
Specify an amount to buy first.,"Primeiro, especifica uma quantidade para comprar."
Can't have more than 100 exchanges listed.,Não pode ter mais de 100 transações listadas.
Can't have more than 100 holdings listed.,Não pode ter mais de 100 explorações listadas.
"This mint is currently disabled, check status for details.",A cunha de moeda está atualmente desativada. Verifica o estado para para mais detalhes.
Invalid currency name.,Nome de moeda inválido.
That currency name already exists at another mint.,O nome da moeda escolhido já existe noutra casa de moeda.
{0} created the currency {1}.,{0} cria a moeda {1}.
{0} renamed currency {1} to {2}.,{0} renomeou {1} para {2}.
"This mint is currently not functional, check status for details.",A casa da moeda não está atualmente a funcionar. Verifica o estado para mais detalhes.
Need to give your currency a name before you can craft it.,É necessário atribuir um nome à moeda antes de a produzir.
You must craft more than zero coins.,Tens de produzir mais de zero moedas.
{0} created {1}.,{0} criou {1}.
No item on table to repair.,Não há nenhum item na tabela para reparar.
Cannot repair {0}.,Não é possível reparar {0}.
{0} is already at max durability.,{0} está já no máximo da durabilidade.
You can't repair {0} until you learn {1}.,Não podes reparar {0} até aprenderes {1}.
"Unable to repair, please check table status.","Não é possível reparar. Por favor, verifica o estado da tabela."
"Not enough {0} to complete the repair, {1} needed.","{0} insuficientes para completar a reparação, necessários {1}."
{0} repaired to maximum durability.,{0} reparado até à durabilidade máxima.
No items marked for trade.,Sem itens marcados para troca.
Trade failed: {0} doesn't want any more {1}.,Transação falhada: {0} não precisa de mais {1}.
Trade failed: {0} wants a max of {1} {2},Transação falhada: {0} requer um máximo de {1} {2}
The owner {0} doesn't have enough currency to cover this trade.,O proprietário {0} não tem moeda suficiente para cobrir esta transação.
{0} is now sold out of {1},{0} encontra-se esgotado de {1}
You are too hungry to pull this {0}!,Está com muita fome para puxar isso {0}!
No meteor to destroy.,Nenhum meteoro para destruir.
Meteor destroyed.,Meteoro destruído.
A wild meteor has appeared!,Apareceu um meteoro desgovernado!
A meteor already exists!,Já existe um meteoro!
"Contract '{0}' is invalid, must fix or delete before posting another one.","Contrato '{0}' é inválido, tem que corrigir ou apagar antes de postar um outro."
No currency found.,Nenhuma moeda encontrada.
<Unassigned>,<Não atribuído>
That contract is too far away to accept.  Contract board is located at {0}.,Esse contrato está muito longe para ser aceite. A placa dos contratos está localizada em {0}.
Contract not accepted: cannot have more than {0} active contracts at once.,Contrato não aceite: não pode ter mais do que {0} contratos ativos.
Can't mark a job failed until the time has expired. {0} left.,"Não é possível marcar uma falha de trabalho até o tempo ter expirado,{0} restantes."
{0:client name} marked your contract as failed:,{0:client name} marcou o teu contrato como falhado:
Contract does not have any clauses.,Contrato não tem quaisquer cláusulas.
Must give the contract a name (click icon in title bar).,Deve dar um nome ao contrato (clique no ícone da barra de título).
"Contract must not be 'Auto-Accept' when containing a custom clause.  Uncheck it at the bottom of the contract, and you will have to manually approve when this contract completes.","Contrato não pode ser do tipo 'Aceitar automaticamente' quando contêm uma cláusula personalizada. Desmarque no fundo do contrato, e terá de aprovar manualmente quando o contrato estiver concluído."
Put {0} in {1}.,Coloque {0} em {1}.
No items specified for container clause.,Nenhum “item” especificado para a cláusula do recipiente.
"No room at requested location, {0}.","Não há espaço no local escolhido, {0}."
From position not specified for Build Road clause.,Da posição não especificada para a cláusula construir estrada.
To position not specified for Build Road clause.,Da posição não especificada para a cláusula construir estrada.
Same position chosen for beginning/end points of road in Build Road clause.,Mesma posíção escolhida para o início/pontos finais da estrada na clásula de construção.
No item specified for road type.,Nenhum item especificado para o tipo de estrada.
No road type selected.,Sem tipo de estrada selecionada.
Road not complete. Last valid point on road detected at {0}.,Estrada não completa. Último ponto de validação na estrada detectadaem {0}.
more,mais
less,menos
No property specified for Blocks clause.,Nenhuma propriedade especificada para a cláusula de blocos.
No items specified for blocks on property clause.,
more than,mais que
less than,menos que
\nFound {0} at {1}.,\n{0} encontrado em {1}.
No currency specified in payment clause.,
Client doesn't have {0} needed to pay.,O cliente não tem {0} necessário para pagar.
Contractor doesn't have the needed {0} deposit specified in payment clause.,O Contratante não tem o depósito {0} necessário especificado na cláusula de pagamento.
{0} paid to {1}.,{0} pago a {1}.
{0} refunded.,{0} reembolsado.
No custom description set.,
{0} must be at or above {1}.,{0} deve ser igual ou superior a {1}.
property rights,direitos de propriedade
object rights,
permanently,permanentemente
for the term of the contract,para os termos do contrato
contract start,início do contrato
contract completion,conclusão do contrato
Receive {0:rights} on {1} {2:permanent or not} upon {3:time point}.,
No location specified for permissions grant.,
"If you give permissions at contract completion, they must be permanent.",
"Can't get permissions on property or object at {0}, may be unclaimed.",
added,adicionado
removed,removido
{0} of the following must be true: {1},
Harvest all {0} on the property at {1}.,
No harvest items specified.,
Harvest container,
Tree still has unharvested logs:\n{0},
Property still has unharvested plants: {0} at {1}.,
Mow the lawn on the property at {0}.,
Nothing mowable on that property.,
Unmowed {0:species name} at {1:position}.,
Mow Lawn,
Plow {0} square meters of field on the property at {1}.,
Property does not cover {0} units.,
"Only {0} tilled spaces found on property, {1} needed.",
Mow,
No property specified for clause.,
Debris/stumps still on property at {0}.,
Move items from {0} to {1}.,
Can't place a block there,
No block to pick up,
That is not a clothing item,
You equipped {0},
Your {0} broke!  It will be much less efficient until repaired.,
You are not authorized to remove items from that.,
You are not authorized to put items into that.,
Can't select {0} while carrying {1}.,
Skill Benefits,
Couldn't find any items matching {0},
"Multiple items found matching, use more specific string: {0}",
Cannot plant on a spot occupied by {0},
Plant already exists there.,Já existe uma planta aí.
Unknown plant type: {0},Tipo de planta desconhecido: {0}
You have too many Skill Scrolls already.,
Only {0} can collect that,
"Can't place there, blocked.",
This plant is dead.,
Atmosphere:({0}),
Balanced Multiplier: {0},
Base Gain: {0},
Calories,Calorias
Waste,Lixo
Nutrition,Nutrição
Stomach Contents,
full,cheio
You are not logged in,
You have kicked {0},
{0} is not online,{0} não está online
Your Steam id is {0}.,
Your SLG id is {0}.,
{0} is not logged in to a Steam account.,
{0}'s Steam id is {1}.,
{0} is not logged in to an SLG account.,
{0} World Marker,
Located {0:distance and direction} at {1}.,
Link added to clipboard.,
Waypoint added.,Ponto de referência adicionado.
Cleared all non-global markers.,
{0} set their objective: {1},
You already own this deed.,Já possui esta escritura.
Room had no ceiling at {0}.,
Room is flooded at {0},
'{0}' is not a valid tier number,
Must be contained within a room,
Contained within a room,
Pressure:{0}atm,
Current skill rate is {0}.,
{0} has issued you a warning. {1},
You have sent a warning to {0},
Bad elk meat?,
Time for some government spending!,
Gabe has made it rain.,Gabe fez chover.
You gave {0} skillpoints to {1},
Atmosphere added.,Atmosfera adicionada.
You gave {0} plots to {1}.,
You gained {0} plots.,
With great power comes great responsibility,
Selected item doesn't have durability.,
Durability set to {0},
Finished in {0},Concluído em {0}
{0} commands:,{0} comandos:
Online: {0},
You are a {0},
{0} is not a world layer.,
Missing Location,
"Can't add tutorial item to inventory, no room.",
Building Blocks...,Blocos de Construção...
{0} has no access rights for {1} at {2}.,
{0} not selected.,
{0} cannot accept items of type {1}.,
Need to add {0} to {1}.,
Button pressed.,
meters,metros
Plant,Planta
This plant is dead. {0},
Calories Available: {0},
Calories Required per Organism: {0},
Amount of {0} Available: {1},
Log is not ready for harvest.  Remove all branches first.,
"Log is too large to pick up, slice into smaller pieces first.",
You are already carrying {0:items} and cannot pick up {1:items}.,
You must obtain authorization to shoot {0}.,
Axe,Machado
Pickaxe,Picareta
Scythe,Foice
Shovel,Pá
Iron Axe,Machado de Ferro
Iron Hammer,Martelo de Ferro
Iron Hoe,Enxada de Ferro
Iron Pickaxe,Picareta de Ferro
Iron Shovel,Pá de Ferro
Modern Axe,Machado Moderno
Modern Hammer,Martelo Moderno
Modern Hoe,Enxada Moderna
Modern Pickaxe,Picareta Moderna
Modern Scythe,Foice Moderna
Modern Shovel,Pá Moderna
Steel Axe,Machado de Aço
Steel Hammer,Martelo de Aço
Steel Hoe,Enxada de Aço
Steel Pickaxe,Picareta de Aço
Steel Shovel,Pá de Aço
Stone Axe,Machado de Pedra
Stone Hammer,Martelo de Pedra
Stone Pickaxe,Picareta de Pedra
Wooden Hoe,Enxada de Madeira
Wooden Shovel,Pá de Madeira
Bow,Arco
Amanita Mushrooms,Cogumelos Amanita
Beet,Beterraba
Corn,Milho
Crimini Mushrooms,Cogumelos Crimini
Fiddleheads,
Fireweed Shoots,
Giant Cactus Fruit,Fruta de Cato Gigante
Huckleberries,
Prickly Pear Fruit,Fruta de Pera Espinhosa
Tomato,Tomate
Wheat,Trigo
Plant Fibers,Fibras de Planta
Acorn,Bolota
Beans,Feijões
Beet Seed,Sementes de Beterraba
Birch Seed,Sementes de Bétula
Bunchgrass Seed,
Camas Bulb,
Cedar Seed,
Corn Seed,Semente de Milho
Creosote Bush Seed,Semente de Arbusto de Creosoto
Crimini Mushroom Spores,Esporos de Cogumelos Crimini
Fern Spore,Esporo de Feto
Fireweed Seed,
Fir Seed,
