"Could not create save file: {0}",""
"Could not start server:","Nu s-a pornit serverul:"
"Connection Failed","Conexiune eșuată"
"Hit {0} for {1} damage!","Lovește {0} pentru {1} deteriorare!"
"You killed the {0}. Find the carcass to harvest it.",""
"The carcass has already been harvested","Carcasa a fost deja recoltată"
"You cannot queue more than {0} projects at a single table.",""
"Cannot lower the priority of other people's work orders on someone else's property.","Nu se poate reduce prioritatea ordinelor de muncă ale altor oameni pe proprietatea altcuiva."
"Project cancelled.","Proiect anulat."
"Could not cancel this project: {0}",""
"This {0:object} has active projects and can't be picked up","Acest obiect are proiecte active și nu poate fi preluat"
"Specify an amount to buy first.","Specificați o sumă pentru a cumpăra mai întâi."
"Can't have more than 100 exchanges listed.","Nu pot fi listate mai mult de 100 de schimburi."
"Can't have more than 100 holdings listed.","Nu pot fi listate mai mult de 100 de exploatații."
"This mint is currently disabled, check status for details.","Această mentă este în prezent dezactivat, verificați starea pentru detalii."
"Invalid currency name.","Nume valuta Invalid."
"That currency name already exists at another mint.","Acest nume de monedă există deja la o altă mentă."
"{0} created the currency {1}.",""
"{0} renamed currency {1} to {2}.",""
"This mint is currently not functional, check status for details.","Această mentă nu este în prezent funcțională, verificați starea pentru detalii."
"Need to give your currency a name before you can craft it.","Trebuie să-i dai monedei un nume înainte să-l poți folosi."
"You must craft more than zero coins.","Trebuie să faci mai mult de zero monede."
"{0} created {1}.",""
"No item on table to repair.","Nu e nimic de reparat."
"Cannot repair {0}.",""
"{0} is already at max durability.",""
"You can't repair {0} until you learn {1}.",""
"Unable to repair, please check table status.","Nu se poate repara, vă rugăm să verificați starea mesei."
"Not enough {0} to complete the repair, {1} needed.",""
"{0} repaired to maximum durability.","{0} reparate pentru durabilitate maximă."
"No items marked for trade.","Nu există articole marcate pentru comerț."
"Trade failed: {0} doesn't want any more {1}.","Comerțul a eșuat: {0} nu mai vrea {1}."
"Trade failed: {0} wants a max of {1} {2}","Comerțul a eșuat: {0} dorește un maxim de {1} {2}"
"The owner {0} doesn't have enough currency to cover this trade.","Proprietarul {0} nu are suficientă monedă pentru a acoperi această tranzacție."
