Context,English,Ukrainian
,Could not create save file: {0},Не вдалося створити файл збереження: {0}
,Could not start server:,Не вдалося запустити сервер:
,Connection Failed,Підключення не вдалося
,Hit {0} for {1} damage!,{0} отримує {1} шкоди!
,You killed the {0}. Find the carcass to harvest it.,Ви вбили {0}. Знайдіть та розберіть тушу.
,The carcass has already been harvested,Тушу вже розібрано
,You cannot queue more than {0} projects at a single table.,Ви не можете ставити в чергу на одному столі більше {0} проектів.
,Cannot lower the priority of other people's work orders on someone else's property.,Не можна знизити пріоритет роботи інших людей у чужій власності.
,Project cancelled.,Проект скасовано.
,Could not cancel this project: {0},Неможливо скасувати цей проект: {0}
,This {0:object} has active projects and can't be picked up,Предмет «{0:object}» належить до активного проекту і його не може взяти
,Specify an amount to buy first.,Вкажіть кількість перед придбанням.
,Can't have more than 100 exchanges listed.,Не можна мати понад 100 зазначених обмінів.
,Can't have more than 100 holdings listed.,Не можна мати понад 100 зазначених резервів.
,"This mint is currently disabled, check status for details.","Карбувальний верстат наразі вимкнутий, для подробиць перевірте стан."
,Invalid currency name.,Неприпустима назва валюти.
,That currency name already exists at another mint.,Ця назва валюти вже використовується на іншому карбувальному верстаті.
,{0} created the currency {1}.,{0} створює валюту {1}.
,{0} renamed currency {1} to {2}.,{0} перейменує валюту {1} на {2}.
,"This mint is currently not functional, check status for details.","Цей карбувальний верстат не працює, перевірте стан для подробиць."
,Need to give your currency a name before you can craft it.,"Перед карбуванням валюти, її потрібно назвати."
,You must craft more than zero coins.,Ви маєте викарбувати щонайменше 1 монету.
,{0} created {1}.,{0} створює {1}.
,No item on table to repair.,На столі відсутні предмети для ремонту.
,Cannot repair {0}.,Неможливо відремонтувати {0}.
,{0} is already at max durability.,{0} вже макс. міцності.
,You can't repair {0} until you learn {1}.,"Не можна відремонтувати {0}, доки ви не вивчите {1}."
,"Unable to repair, please check table status.","Неможливо відремонтувати. Будь ласка, перевірте стан столу."
,"Not enough {0} to complete the repair, {1} needed.","Недостатньо {0} для ремонту, потрібно {1}."
,{0} repaired to maximum durability.,{0} відремонтовано до максимальної міцності.
,No items marked for trade.,Предмети для торгівлі не відмічено.
,Trade failed: {0} doesn't want any more {1}.,Невдала торгівельна угода: {0} більше не потребує {1}.
,Trade failed: {0} wants a max of {1} {2},Невдала торгівельна угода: {0} потребує не більше ніж {1} {2}
,The owner {0} doesn't have enough currency to cover this trade.,"Власник {0} не має достатньої кількості валюти, щоби покрити цю торгівельну угоду."
,{0} is now sold out of {1},{0} повністю розпродує {1}
,You are too hungry to pull this {0}!,"Ви занадто голодні, щоби тягнути {0}!"
,No meteor to destroy.,Відсутні метеорити для знищення.
,Meteor destroyed.,Метеорит знищено.
,A wild meteor has appeared!,З’явився дикий метеорит!
,A meteor already exists!,Метеорит вже існує!
,"Contract '{0}' is invalid, must fix or delete before posting another one.","Договір «{0}» хибний, виправте або видаліть його перед формуванням іншого."
,No currency found.,Валюту не знайдено.
,<Unassigned>,<не призначено>
,That contract is too far away to accept.  Contract board is located at {0}.,"Договір надто далеко, щоби прийняти його.  Дошка договору розміщена в {0}."
,Contract not accepted: cannot have more than {0} active contracts at once.,Договір не прийнято: не можна мати більше {0} активних договорів одночасно.
,Can't mark a job failed until the time has expired. {0} left.,"Не можна позначити роботу, як «Невиконана», допоки час не вичерпано. Залишилось {0}."
,{0:client name} marked your contract as failed:,"{0:client name} позначає ваш договір, як провалений:"
,Contract does not have any clauses.,Договір не містить жодного пункту.
,Must give the contract a name (click icon in title bar).,Дайте назву для договору (клацніть на позначку у заголовку).
,"Contract must not be 'Auto-Accept' when containing a custom clause.  Uncheck it at the bottom of the contract, and you will have to manually approve when this contract completes.","Договір із пунктами, запропонованими користувачем, не повинен бути з «Автоматичним підтверженням». Зніміть позначку внизу договору, щоби підтвердити вручну після виконання всіх умов."
,Put {0} in {1}.,Покласти {0} в {1}.
,No items specified for container clause.,Предмети для умови щодо скрині не обрано.
,"No room at requested location, {0}.","Немає місця в обраній локації, {0}."
,From position not specified for Build Road clause.,Вихідна точка для будівництва дороги не вказана.
,To position not specified for Build Road clause.,Кінцева точка для будівництва дороги не вказана.
,Same position chosen for beginning/end points of road in Build Road clause.,Вихідна і кінцева точки будівництва дороги співпадають.
,No item specified for road type.,Не обрано матеріал дороги.
,No road type selected.,Не обрано тип дороги.
,Road not complete. Last valid point on road detected at {0}.,Дорога не завершена. Останню дійсну точку дороги знайдено на {0}.
,more,більше
,less,менше
,No property specified for Blocks clause.,Майно для умови про блоки не обрано.
,No items specified for blocks on property clause.,Не обрано предмети для умови про блоки у власності.
,more than,більш ніж
,less than,менше ніж
,\nFound {0} at {1}.,\nЗнайдено {0} у {1}.
,No currency specified in payment clause.,Валюту не зазначено в умові про оплату.
